alpha,valence,seed,proto_id,well_depth,proto_distance,gru_ih_norm,gru_hh_norm,proto_g_0,proto_g_1,proto_g_2,proto_g_3,proto_g_4,proto_g_5,proto_g_6,proto_g_7,proto_g_8,proto_g_9,proto_g_10,proto_g_11
0.05,SSSS,2,1,5.639996743411757e-05,8.137190818786621,7.599815845489502,9.47097110748291,-0.8488517999649048,1.343178153038025,0.4697438180446625,-2.0800564289093018,-0.32323336601257324,0.9520354270935059,-1.073500394821167,2.086487293243408,-1.5398693084716797,-0.4131675958633423,2.6647727489471436,-1.661309003829956
0.05,SSSS,3,0,1.4933362763258629e-05,8.288070678710938,7.581733703613281,8.2824125289917,0.6679797768592834,0.29210594296455383,0.12068507075309753,0.8596994876861572,1.7303074598312378,-0.3934628963470459,-0.21958966553211212,-1.646684169769287,0.29769065976142883,0.25626230239868164,-1.7524406909942627,1.9462354183197021
0.05,SSSS,3,1,1.4933362763258629e-05,8.288070678710938,7.581733703613281,8.2824125289917,-0.6923004388809204,-0.4273935854434967,-0.6135912537574768,-2.4080448150634766,-1.0072437524795532,1.1061779260635376,0.1236477941274643,2.5951614379882812,-0.9480933547019958,-0.5332903265953064,2.0849671363830566,-1.2711409330368042
0.05,SSSS,4,0,4.518559580901638e-05,8.074954986572266,8.207901000976562,8.626822471618652,0.46994897723197937,-0.42833882570266724,0.3953382968902588,1.0317579507827759,0.8255529999732971,-0.29223188757896423,-0.5048118233680725,-1.917614221572876,-0.4713115096092224,0.28789862990379333,-1.403279185295105,2.1456544399261475
0.05,SSSS,4,1,4.518559580901638e-05,8.074954986572266,8.207901000976562,8.626822471618652,-0.8703768849372864,1.2329131364822388,-1.533216953277588,-2.013334274291992,0.9882709980010986,0.8991616368293762,0.18760637938976288,2.106117010116577,0.08934340626001358,-1.0092108249664307,2.4652843475341797,-1.4009476900100708
0.05,SSSS,5,0,3.0524315661750734e-05,8.307339668273926,7.475825309753418,9.44019889831543,-0.27058807015419006,-0.6097913384437561,0.35768187046051025,1.0014318227767944,1.4655414819717407,-0.3079303503036499,-0.6869279742240906,-2.130781650543213,0.030017564073204994,-0.42863693833351135,-1.17897629737854,1.7445733547210693
0.05,SSSS,5,1,3.0524315661750734e-05,8.307339668273926,7.475825309753418,9.44019889831543,0.369993656873703,1.2681961059570312,-1.3907445669174194,-1.7723643779754639,-1.3586311340332031,0.6993920803070068,0.33646687865257263,1.7076821327209473,-1.0788915157318115,0.6150587201118469,3.179056406021118,-1.126063346862793
0.25,MMMM,0,0,5.270151450531557e-05,8.430989265441895,7.824863433837891,7.778329372406006,-0.9485596418380737,-0.3520905375480652,-0.0892041027545929,-0.7823053002357483,-1.8718085289001465,-1.6903762817382812,1.4114692211151123,2.291151523590088,1.0841305255889893,0.8074467778205872,1.9877889156341553,-1.2879670858383179
0.25,MMMM,0,1,5.270151450531557e-05,8.430989265441895,7.824863433837891,7.778329372406006,0.8521209359169006,0.9928310513496399,0.055337198078632355,0.5280215740203857,1.1613264083862305,0.9040054082870483,-0.3414006531238556,-1.351831078529358,-0.997657835483551,-0.6628205180168152,-2.2227261066436768,1.5037875175476074
0.25,MMMM,1,0,4.3721269321395084e-05,8.459781646728516,7.830763339996338,8.04257869720459,-1.1857377290725708,-0.7013311386108398,0.6223708391189575,-1.2186440229415894,-1.8693599700927734,-1.8693550825119019,1.0256253480911255,2.008399248123169,0.9958834648132324,0.4848039150238037,1.6259961128234863,-1.704226016998291
0.25,MMMM,1,1,4.3721269321395084e-05,8.459781646728516,7.830763339996338,8.04257869720459,1.082739233970642,0.8650889992713928,-0.8858931064605713,0.636540412902832,1.1745456457138062,0.9686025977134705,-0.054507531225681305,-1.3816859722137451,-0.7651391625404358,-0.17987726628780365,-1.9562108516693115,1.7450846433639526
0.25,MMMM,2,0,4.688653280027211e-05,8.245030403137207,8.38676929473877,7.865348815917969,-0.15653769671916962,-0.47308406233787537,-0.21272246539592743,0.8804182410240173,1.5031225681304932,1.4555960893630981,-0.3506902754306793,-1.607455849647522,-1.3691476583480835,-0.22270549833774567,-1.110479474067688,1.7665340900421143
0.25,MMMM,2,1,4.688653280027211e-05,8.245030403137207,8.38676929473877,7.865348815917969,-0.5094377994537354,0.27033331990242004,0.6140554547309875,-1.375065803527832,-1.7092492580413818,-1.9486454725265503,1.2218692302703857,1.7216103076934814,0.8234224915504456,0.2944510579109192,1.5701311826705933,-1.9494099617004395
